Qty,Tenor,Product,Mapped_Product,Strategy
100.0,H6,HTT,HTT,HTT_Front
-574.0,K6,HTT,HTT,HTT_Mid
-75.0,F7,HTT,HTT,HTT_Back
-75.0,G7,HTT,HTT,HTT_Back
-75.0,H7,HTT,HTT,HTT_Back
-75.0,J7,HTT,HTT,HTT_Back
-75.0,K7,HTT,HTT,HTT_Back
-75.0,M7,HTT,HTT,HTT_Back
-75.0,N7,HTT,HTT,HTT_Back
-75.0,Q7,HTT,HTT,HTT_Back
-75.0,U7,HTT,HTT,HTT_Back
-75.0,V7,HTT,HTT,HTT_Back
-75.0,X7,HTT,HTT,HTT_Back
-75.0,Z7,HTT,HTT,HTT_Back
100.0,N6,HTT,HTT,HTT_Back
100.0,Q6,HTT,HTT,HTT_Back
100.0,U6,HTT,HTT,HTT_Back
100.0,V6,HTT,HTT,HTT_Back
100.0,X6,HTT,HTT,HTT_Back
100.0,Z6,HTT,HTT,HTT_Back
300.0,H6,HOUBR_Cross,HOUBR,HOUBR_Front
-300.0,J6,HOUBR_Cross,HOUBR,HOUBR_Front
-25.0,F7,HOUBR,HOUBR,HOUBR_Back
-25.0,G7,HOUBR,HOUBR,HOUBR_Back
-25.0,H7,HOUBR,HOUBR,HOUBR_Back
-25.0,J7,HOUBR,HOUBR,HOUBR_Back
-25.0,K7,HOUBR,HOUBR,HOUBR_Back
-25.0,M7,HOUBR,HOUBR,HOUBR_Back
-25.0,N7,HOUBR,HOUBR,HOUBR_Back
-25.0,Q7,HOUBR,HOUBR,HOUBR_Back
-25.0,U7,HOUBR,HOUBR,HOUBR_Back
-25.0,V7,HOUBR,HOUBR,HOUBR_Back
-25.0,X7,HOUBR,HOUBR,HOUBR_Back
-25.0,Z7,HOUBR,HOUBR,HOUBR_Back
31.9996,J6,CLBR,CLBR,HOUBR_Back
200.0,V6,HOUBR,HOUBR,HOUBR_Back
200.0,X6,HOUBR,HOUBR,HOUBR_Back
200.0,Z6,HOUBR,HOUBR,HOUBR_Back
-1400.0,J6,HTT Rolls,HTT,HTT_Rolls
-1400.0,K6,HTT Rolls,HTT,HTT_Rolls
-1400.0,M6,HTT Rolls,HTT,HTT_Rolls
1400.0,N6,HTT Rolls,HTT,HTT_Rolls
1400.0,Q6,HTT Rolls,HTT,HTT_Rolls
1400.0,U6,HTT Rolls,HTT,HTT_Rolls
-100.0,F7,HTT Rolls,HTT,HTT_Rolls
-100.0,G7,HTT Rolls,HTT,HTT_Rolls
-100.0,H7,HTT Rolls,HTT,HTT_Rolls
-100.0,J7,HTT Rolls,HTT,HTT_Rolls
-100.0,K7,HTT Rolls,HTT,HTT_Rolls
-100.0,M7,HTT Rolls,HTT,HTT_Rolls
-100.0,N7,HTT Rolls,HTT,HTT_Rolls
-100.0,Q7,HTT Rolls,HTT,HTT_Rolls
-100.0,U7,HTT Rolls,HTT,HTT_Rolls
-100.0,V7,HTT Rolls,HTT,HTT_Rolls
-100.0,X7,HTT Rolls,HTT,HTT_Rolls
-100.0,Z7,HTT Rolls,HTT,HTT_Rolls
100.0,F8,HTT Rolls,HTT,HTT_Rolls
100.0,G8,HTT Rolls,HTT,HTT_Rolls
100.0,H8,HTT Rolls,HTT,HTT_Rolls
100.0,J8,HTT Rolls,HTT,HTT_Rolls
100.0,K8,HTT Rolls,HTT,HTT_Rolls
100.0,M8,HTT Rolls,HTT,HTT_Rolls
100.0,N8,HTT Rolls,HTT,HTT_Rolls
100.0,Q8,HTT Rolls,HTT,HTT_Rolls
100.0,U8,HTT Rolls,HTT,HTT_Rolls
100.0,V8,HTT Rolls,HTT,HTT_Rolls
100.0,X8,HTT Rolls,HTT,HTT_Rolls
100.0,Z8,HTT Rolls,HTT,HTT_Rolls
-1300.0,K6,HOUBR Boxes,HOUBR,HOUBR_rolls
1300.0,M6,HOUBR Boxes,HOUBR,HOUBR_rolls
-300.0,J6,CLBR Boxes,CLBR,HOUBR_rolls
300.0,N6,CLBR Boxes,CLBR,HOUBR_rolls
100.0,Z6,CLBR Boxes,CLBR,HOUBR_rolls
-100.0,Z7,CLBR Boxes,CLBR,HOUBR_rolls
850.0,U6,CLBR Boxes,CLBR,HOUBR_rolls
-850.0,V6,CLBR Boxes,CLBR,HOUBR_rolls
-870.0,V6,HTTMID,LH,Longhorn
-870.0,X6,HTTMID,LH,Longhorn
-870.0,Z6,HTTMID,LH,Longhorn
190.0,F7,HTTMID,LH,Longhorn
190.0,G7,HTTMID,LH,Longhorn
190.0,H7,HTTMID,LH,Longhorn
190.0,J7,HTTMID,LH,Longhorn
190.0,K7,HTTMID,LH,Longhorn
190.0,M7,HTTMID,LH,Longhorn
190.0,N7,HTTMID,LH,Longhorn
190.0,Q7,HTTMID,LH,Longhorn
190.0,U7,HTTMID,LH,Longhorn
190.0,V7,HTTMID,LH,Longhorn
190.0,X7,HTTMID,LH,Longhorn
190.0,Z7,HTTMID,LH,Longhorn
753.0,H6,HTTMID,LH,Longhorn
1000.0,J6,HTTMID,LH,Longhorn
1000.0,K6,HTTMID,LH,Longhorn
1000.0,M6,HTTMID,LH,Longhorn
-120.0,J6,WDF,WDF,Freight
40.0,J6,WDF,WDF,Freight
40.0,K6,WDF,WDF,Freight
40.0,M6,WDF,WDF,Freight
15.0,J6,WDF,WDF,Freight
